Unix Timestamp,Year,Month,Day,Hour,Minute,Second,Distance (cm),Latitude,Longitude,Confidence
1701741964936,2023,12,4,16,6,4,997,19.7283413,-155.9893158,1
1701741965823,2023,12,4,16,6,5,1007,19.7283408,-155.9893152,1
1701741966642,2023,12,4,16,6,6,1183,19.7283404,-155.9893145,62
1701741967566,2023,12,4,16,6,7,280,19.7283402,-155.9893139,52
1701741968486,2023,12,4,16,6,8,1188,19.7283399,-155.9893132,65
1701742273142,2023,12,4,16,11,13,665,19.7283415,-155.9893302,13
1701742274057,2023,12,4,16,11,14,628,19.7283415,-155.9893305,1
1701742274973,2023,12,4,16,11,14,607,19.7283416,-155.9893304,1
1701742275895,2023,12,4,16,11,15,644,19.7283416,-155.9893302,1
1701742276917,2023,12,4,16,11,16,709,19.7283415,-155.9893302,9
1701742277943,2023,12,4,16,11,17,801,19.7283412,-155.9893301,1
1701742278863,2023,12,4,16,11,18,800,19.728341,-155.9893299,20
1701742279888,2023,12,4,16,11,19,822,19.7283408,-155.9893296,1
1701742280541,2023,12,4,16,11,20,939,19.7283407,-155.9893295,1
1701742311941,2023,12,4,16,11,51,5457,19.728336,-155.9893193,1
1701742312860,2023,12,4,16,11,52,5919,19.7283359,-155.9893189,11
1701742313782,2023,12,4,16,11,53,6518,19.7283358,-155.9893184,1
1701742314704,2023,12,4,16,11,54,5999,19.7283357,-155.9893182,8
1701742315527,2023,12,4,16,11,55,6087,19.7283357,-155.9893181,1
1701742316343,2023,12,4,16,11,56,6285,19.7283356,-155.9893177,10
1701742317262,2023,12,4,16,11,57,6527,19.7283355,-155.9893172,1
1701742318084,2023,12,4,16,11,58,7158,19.7283353,-155.9893167,23
1701742449769,2023,12,4,16,14,9,4850,19.7283432,-155.9893273,48
1701742450459,2023,12,4,16,14,10,5053,19.7283432,-155.9893274,11
1701742451146,2023,12,4,16,14,11,5177,19.728343,-155.9893273,20
1701742451796,2023,12,4,16,14,11,431,19.7283429,-155.9893274,21
1701742452532,2023,12,4,16,14,12,470,19.7283428,-155.9893275,31
1701742453453,2023,12,4,16,14,13,466,19.7283429,-155.9893277,1
1701742454274,2023,12,4,16,14,14,4632,19.7283429,-155.9893284,58
1701742455193,2023,12,4,16,14,15,4718,19.7283431,-155.9893289,66
1701742456218,2023,12,4,16,14,16,4795,19.7283432,-155.9893292,70
1701742457001,2023,12,4,16,14,17,5341,19.7283432,-155.9893294,21
1701742457600,2023,12,4,16,14,17,329,19.7283433,-155.9893295,52
